ID,air_genre_name,air_area_name,latitude,longitude
"restaurant_ 1",Italian/French,"Hyōgo-ken Kōbe-shi Kumoidōri",34.6951242,135.1978525
"restaurant_ 2",Italian/French,"Hyōgo-ken Kōbe-shi Kumoidōri",34.6951242,135.1978525
"restaurant_ 3",Italian/French,"Hyōgo-ken Kōbe-shi Kumoidōri",34.6951242,135.1978525
"restaurant_ 4",Italian/French,"Hyōgo-ken Kōbe-shi Kumoidōri",34.6951242,135.1978525
"restaurant_ 5",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 6",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 7",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 8",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 9",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 10",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 11",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 12",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 13",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 14",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 15",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 16",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 17",Italian/French,"Tōkyō-to Minato-ku Shibakōen",35.6580681,139.7515992
"restaurant_ 18",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 19",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 20",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 21",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 22",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 23",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 24",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 25",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 26",Italian/French,"Fukuoka-ken Fukuoka-shi Daimyō",33.5892157,130.3928134
"restaurant_ 27",Italian/French,"Tōkyō-to Setagaya-ku Setagaya",35.6465721,139.6532473
"restaurant_ 28",Italian/French,"Tōkyō-to Setagaya-ku Setagaya",35.6465721,139.6532473
"restaurant_ 29",Italian/French,"Tōkyō-to Setagaya-ku Setagaya",35.6465721,139.6532473
"restaurant_ 30",Italian/French,"Tōkyō-to Setagaya-ku Setagaya",35.6465721,139.6532473
"restaurant_ 31",Italian/French,"Ōsaka-fu Ōsaka-shi Ōgimachi",34.7053617,135.5100252
"restaurant_ 32",Italian/French,"Ōsaka-fu Ōsaka-shi Ōgimachi",34.7053617,135.5100252
"restaurant_ 33",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 34",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 35",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 36",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 37",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 38",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 39",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 40",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 41",Italian/French,"Tōkyō-to Shibuya-ku Shibuya",35.6617773,139.7040506
"restaurant_ 42",Italian/French,"Tōkyō-to Suginami-ku Asagayaminami",35.6995657,139.6364379
"restaurant_ 43",Italian/French,"Tōkyō-to Suginami-ku Asagayaminami",35.6995657,139.6364379
"restaurant_ 44",Italian/French,"Hiroshima-ken Hiroshima-shi Kokutaijimachi",34.3862445,132.4550176
